facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,inspection_date,hygiene_risk
FAC0301,Mumbai,Hospital,2.22,7.75,4.7,0,161,20,9,2026-05-08,High
FAC0302,Mumbai,Public Toilet,2.32,3.9,3.23,1,270,4,37,2026-08-01,Medium
FAC0303,Akola,Office,4.38,1.68,8.15,0,226,16,48,2026-07-08,High
FAC0304,Mumbai,Office,5.09,5.39,6.24,0,394,14,41,2026-07-03,High
FAC0305,Akola,Public Toilet,8.65,8.16,4.58,1,442,6,32,2026-05-26,Medium
FAC0306,Amravati,College,4.04,6.2,6.1,1,423,10,44,2026-02-20,High
FAC0307,Pune,Hospital,6.64,8.53,1.15,0,245,14,1,2026-03-09,Medium
FAC0308,Akola,College,8.94,3.72,8.87,1,67,20,24,2026-07-10,Medium
FAC0309,Mumbai,College,6.98,6.84,1.47,1,391,7,28,2026-02-18,Medium
FAC0310,Amravati,Office,1.01,5.29,2.19,0,285,14,1,2026-06-25,Medium
FAC0311,Pune,College,8.35,9.89,4.8,0,264,2,15,2026-02-22,Medium
FAC0312,Mumbai,Hospital,1.93,4.31,3.69,1,416,4,42,2026-02-05,Medium
FAC0313,Mumbai,Hospital,5.77,1.08,6.85,1,199,6,41,2026-07-30,Medium
FAC0314,Mumbai,Railway Station,6.54,4.98,2.96,0,91,3,38,2026-06-29,Medium
FAC0315,Nashik,Bus Station,9.67,3.83,2.26,1,350,2,16,2026-05-26,Low
FAC0316,Nashik,Hospital,8.01,7.21,8.63,1,125,16,39,2026-07-20,High
FAC0317,Nagpur,Railway Station,3.66,1.49,9.08,0,273,12,8,2026-02-06,High
FAC0318,Pune,Public Toilet,5.75,9.8,9.88,1,87,12,37,2026-03-30,High
FAC0319,Akola,Hospital,7.86,9.59,7.93,0,320,2,1,2026-01-21,Medium
FAC0320,Pune,Office,9.3,9.54,4.58,1,341,16,27,2026-07-25,Medium
FAC0321,Nashik,Hospital,1.74,5.83,6.54,1,62,9,6,2026-03-21,Medium
FAC0322,Nagpur,College,5.83,4.52,6.71,0,178,13,47,2026-05-06,High
FAC0323,Amravati,Office,1.78,4.91,5.08,0,178,5,8,2026-03-12,Medium
FAC0324,Mumbai,Public Toilet,7.31,2.47,9.58,1,105,11,9,2026-03-02,Medium
FAC0325,Mumbai,Bus Station,7.94,1.26,8.26,1,288,2,17,2026-02-09,Low
FAC0326,Amravati,Bus Station,5.47,5.6,1.5,0,208,5,17,2026-03-01,Medium
FAC0327,Akola,Railway Station,3.06,5.58,1.4,0,145,1,31,2026-03-18,Medium
FAC0328,Pune,Office,2.61,9.64,1.32,1,134,10,16,2026-06-13,Medium
FAC0329,Amravati,Railway Station,3.44,1.7,4.36,0,111,7,34,2026-02-05,Medium
FAC0330,Pune,College,8.89,8.79,7.96,1,187,2,36,2026-07-08,Medium
FAC0331,Pune,Hospital,2.81,6.07,3.74,0,257,11,38,2026-05-06,High
FAC0332,Amravati,Office,2.36,9.39,1.22,1,345,0,22,2026-07-12,Medium
FAC0333,Nagpur,Office,8.64,7.54,1.94,0,234,15,4,2026-05-24,Medium
FAC0334,Mumbai,College,1.84,9.29,9.08,1,378,11,30,2026-02-18,High
FAC0335,Akola,Public Toilet,5.55,6.73,4.55,0,242,4,16,2026-06-11,Medium
FAC0336,Nagpur,College,9.33,4.54,8.49,1,182,14,18,2026-04-14,Medium
FAC0337,Akola,Railway Station,2.23,7.93,1.98,0,104,14,30,2026-03-03,High
FAC0338,Amravati,Hospital,5.82,9.68,2.87,1,257,8,8,2026-06-05,Medium
FAC0339,Nagpur,Public Toilet,8.44,7.27,1.36,1,95,2,46,2026-07-22,Medium
FAC0340,Nashik,Office,5.62,7.09,3.34,0,35,12,29,2026-05-08,Medium
FAC0341,Nagpur,Hospital,1.85,1.92,8.14,0,26,1,15,2026-07-25,Medium
FAC0342,Amravati,Hospital,4.35,6.67,6.8,1,489,2,2,2026-08-16,Medium
FAC0343,Amravati,Hospital,8.28,1.83,8.63,1,82,1,30,2026-08-10,Medium
FAC0344,Nagpur,Public Toilet,8.4,4.55,1.27,1,108,11,14,2026-05-24,Low
FAC0345,Pune,Bus Station,5.01,2.34,6.53,0,351,9,32,2026-09-03,High
FAC0346,Mumbai,Bus Station,1.55,3.52,2.24,0,349,16,16,2026-01-10,High
FAC0347,Akola,Railway Station,9.9,8.04,4.23,1,196,18,33,2026-05-19,Medium
FAC0348,Akola,Bus Station,2.62,3.87,2.97,1,49,15,34,2026-04-30,Medium
FAC0349,Nashik,Railway Station,9.77,1.9,6.91,1,293,1,15,2026-07-01,Low
FAC0350,Mumbai,Public Toilet,9.42,9.92,2.56,0,323,10,48,2026-01-15,High
FAC0351,Nashik,Public Toilet,7.33,4.17,6.11,0,308,6,32,2026-03-31,Medium
FAC0352,Amravati,Public Toilet,5.41,1.81,3.09,0,30,16,31,2026-04-14,Medium
FAC0353,Nashik,Office,8.26,4.07,2.6,1,50,0,10,2026-03-14,Low
FAC0354,Amravati,Public Toilet,7.97,8.62,8.75,0,211,12,38,2026-06-04,High
FAC0355,Mumbai,Public Toilet,3.9,9.78,7.59,1,425,20,32,2026-03-31,High
FAC0356,Pune,Public Toilet,7.36,6.06,9.01,1,134,18,12,2026-05-31,Medium
FAC0357,Nagpur,Bus Station,2.15,7.56,9.54,1,455,18,3,2026-06-12,High
FAC0358,Akola,Office,9.29,9.71,2.99,0,499,15,10,2026-02-09,Medium
FAC0359,Akola,Railway Station,3.14,9.84,2.51,0,440,20,47,2026-01-06,High
FAC0360,Amravati,College,3.39,3.25,1.61,1,422,3,47,2026-07-17,Medium
FAC0361,Nashik,Railway Station,4.94,4.78,2.5,1,272,12,23,2026-02-21,Medium
FAC0362,Amravati,Public Toilet,8.46,8.1,6.2,0,103,14,5,2026-01-11,Medium
FAC0363,Mumbai,College,3.87,9.56,1.67,0,474,12,11,2026-02-17,High
FAC0364,Nashik,Railway Station,4.04,9.87,9.04,0,240,20,11,2026-03-22,High
FAC0365,Mumbai,Bus Station,1.48,3.98,9.77,1,376,17,47,2026-05-16,High
FAC0366,Nagpur,College,6.95,3.68,1.86,1,312,17,32,2026-07-04,Medium
FAC0367,Nagpur,Hospital,1.03,1.79,8.42,1,122,3,2,2026-05-30,Medium
FAC0368,Akola,College,9.79,5.26,2.04,1,261,15,43,2026-07-18,Medium
FAC0369,Pune,Public Toilet,2.66,8.97,4.32,1,42,8,29,2026-04-26,Medium
FAC0370,Pune,Bus Station,8.53,6.08,2.36,0,63,11,35,2026-04-27,Medium
FAC0371,Nagpur,Railway Station,5.98,8.57,8.37,1,294,15,37,2026-06-03,High
FAC0372,Nagpur,Hospital,1.71,9.12,7.43,0,81,14,12,2026-04-09,High
FAC0373,Nashik,Public Toilet,2.14,4.81,9.89,1,123,20,10,2026-06-13,High
FAC0374,Akola,Public Toilet,9.2,9.23,1.6,1,304,12,36,2026-09-24,Medium
FAC0375,Nagpur,Bus Station,5.12,8.86,8.08,1,77,13,10,2026-02-21,Medium
FAC0376,Pune,Public Toilet,9.32,6.06,1.91,1,464,17,23,2026-07-16,Medium
FAC0377,Nashik,Bus Station,6.89,6.15,5.26,0,161,12,10,2026-07-25,Medium
FAC0378,Akola,College,1.35,9.01,3.98,0,45,15,18,2026-06-22,High
FAC0379,Nagpur,Public Toilet,8.36,3.73,3.52,1,459,3,15,2026-08-15,Low
FAC0380,Pune,Office,7.97,3.89,7.56,0,116,14,14,2026-09-06,Medium
FAC0381,Nashik,Railway Station,7.84,8.8,8.39,0,53,9,46,2026-03-11,High
FAC0382,Nagpur,College,8.02,5.72,6.12,0,118,6,4,2026-08-22,Medium
FAC0383,Pune,Office,1.46,4.24,2.79,1,441,14,33,2026-03-05,High
FAC0384,Nashik,Public Toilet,7.13,3.18,5.4,1,110,15,38,2026-06-26,Medium
FAC0385,Amravati,Hospital,2.47,9.05,7.74,0,165,0,25,2026-04-20,High
FAC0386,Amravati,Office,8.71,6.83,7.1,1,353,13,33,2026-01-05,Medium
FAC0387,Akola,Office,5.27,2.19,2.56,0,134,8,39,2026-05-21,Medium
FAC0388,Mumbai,Bus Station,4.81,4.39,4.14,1,131,14,20,2026-07-23,Medium
FAC0389,Nashik,Public Toilet,6.26,1.07,9.99,1,307,20,39,2026-06-02,High
FAC0390,Akola,Office,7.16,5.34,4.03,1,347,10,18,2026-06-02,Medium
FAC0391,Mumbai,Public Toilet,2.7,5.66,3.16,0,432,19,26,2026-03-13,High
FAC0392,Pune,Office,7.49,6.9,9.98,1,484,13,26,2026-01-19,High
FAC0393,Nashik,Office,6.25,9.95,8.34,1,391,7,44,2026-09-01,High
FAC0394,Akola,College,9.16,7.05,5.57,0,450,17,12,2026-08-30,Medium
FAC0395,Amravati,Hospital,2.15,3.33,8.28,0,368,10,42,2026-07-01,High
FAC0396,Akola,Railway Station,3.01,8.84,4.78,1,210,8,38,2026-03-02,High
FAC0397,Amravati,Office,5.23,8.8,6.25,0,261,6,33,2026-07-15,High
FAC0398,Pune,Bus Station,5.77,4.72,8.84,0,90,6,22,2026-08-23,High
FAC0399,Nagpur,Public Toilet,2.29,8.76,2.62,0,269,10,41,2026-01-30,High
FAC0400,Amravati,Hospital,1.04,3.46,7.85,0,315,5,32,2026-08-11,High
FAC0401,Nagpur,Office,6.7,4.63,9.69,1,22,1,35,2026-07-11,Medium
FAC0402,Mumbai,Hospital,9.55,9.03,7.81,0,29,0,41,2026-04-26,Medium
FAC0403,Nagpur,College,7.24,4.1,2.16,1,277,18,20,2026-01-24,Medium
FAC0404,Pune,Public Toilet,3.68,3.62,7.55,1,242,4,22,2026-04-07,Medium
FAC0405,Nagpur,Hospital,2.48,9.16,8.31,0,136,7,47,2026-01-12,High
FAC0406,Nashik,Bus Station,6.31,2.52,4.3,0,212,20,17,2026-01-25,Medium
FAC0407,Pune,Railway Station,6.35,1.43,1.97,0,44,3,27,2026-03-05,Medium
FAC0408,Amravati,Office,5.93,5.27,2.38,0,174,13,43,2026-09-24,High
FAC0409,Akola,College,3.43,6.45,2.23,0,281,19,8,2026-02-24,High
FAC0410,Nagpur,College,5.48,6.48,8.0,0,203,13,19,2026-09-12,High
FAC0411,Amravati,College,9.19,7.19,5.33,0,21,0,43,2026-09-10,Medium
FAC0412,Nagpur,Railway Station,2.34,1.81,5.61,0,483,8,42,2026-06-01,High
FAC0413,Mumbai,Public Toilet,3.38,1.45,8.32,0,456,9,24,2026-08-07,High
FAC0414,Mumbai,Hospital,7.65,1.85,7.82,0,24,4,43,2026-06-18,Medium
FAC0415,Amravati,Railway Station,4.22,4.94,6.6,0,210,10,12,2026-07-24,High
FAC0416,Nagpur,College,9.66,3.45,4.47,1,429,13,42,2026-03-09,Medium
FAC0417,Pune,Bus Station,7.27,1.53,9.48,0,73,13,38,2026-08-13,High
FAC0418,Pune,College,2.63,4.42,4.23,0,461,4,31,2026-07-30,High
FAC0419,Nashik,Office,4.97,1.57,6.89,0,380,16,48,2026-04-25,High
FAC0420,Akola,Office,9.8,7.03,4.04,0,241,7,31,2026-07-17,Medium
FAC0421,Nashik,Railway Station,2.34,8.44,9.03,0,25,20,11,2026-09-11,High
FAC0422,Nashik,Hospital,8.82,1.67,5.42,0,189,8,4,2026-07-13,Medium
FAC0423,Akola,College,4.63,3.11,5.13,1,65,15,29,2026-09-12,Medium
FAC0424,Amravati,Bus Station,7.71,1.16,4.63,0,305,17,1,2026-06-05,Medium
FAC0425,Nagpur,Railway Station,9.01,6.06,6.89,1,194,11,4,2026-06-19,Medium
FAC0426,Amravati,Office,6.04,6.58,5.26,1,386,14,8,2026-04-24,Medium
FAC0427,Mumbai,College,1.02,4.2,6.7,1,300,16,24,2026-01-24,High
FAC0428,Nagpur,Hospital,9.07,5.43,8.4,1,74,8,40,2026-03-03,Medium
FAC0429,Pune,College,9.37,4.54,5.11,0,386,10,7,2026-03-05,Medium
FAC0430,Mumbai,College,7.95,5.05,6.93,0,275,0,34,2026-08-10,Medium
FAC0431,Mumbai,Hospital,8.55,5.35,5.57,0,374,18,12,2026-02-23,Medium
FAC0432,Nagpur,Public Toilet,4.49,6.4,8.94,1,234,19,45,2026-07-23,High
FAC0433,Mumbai,Office,9.67,9.73,5.08,0,90,13,39,2026-09-20,High
FAC0434,Mumbai,Public Toilet,3.69,7.31,8.75,0,122,6,40,2026-06-26,High
FAC0435,Mumbai,Public Toilet,9.29,2.19,7.39,0,277,17,45,2026-03-01,High
FAC0436,Pune,College,7.85,6.06,6.25,1,365,17,19,2026-09-25,Medium
FAC0437,Akola,Office,1.96,4.43,1.48,0,122,8,11,2026-05-09,Medium
FAC0438,Akola,Railway Station,2.32,1.56,8.06,0,405,17,3,2026-02-22,High
FAC0439,Pune,Hospital,6.54,7.08,6.06,0,400,20,36,2026-09-19,High
FAC0440,Pune,Office,8.06,8.19,3.59,0,494,12,25,2026-06-10,Medium
FAC0441,Mumbai,Office,9.69,1.48,7.69,0,337,14,15,2026-07-08,Medium
FAC0442,Mumbai,College,7.8,5.92,6.43,0,170,14,12,2026-04-06,Medium
FAC0443,Akola,Hospital,9.66,7.62,2.07,0,239,8,36,2026-03-24,Medium
FAC0444,Nashik,College,6.26,3.3,3.98,0,40,4,21,2026-06-04,Medium
FAC0445,Nashik,College,5.41,6.15,4.22,1,289,7,12,2026-09-16,Medium
FAC0446,Akola,Public Toilet,2.43,5.89,4.63,1,133,6,43,2026-07-04,Medium
FAC0447,Amravati,Office,3.64,9.55,6.56,1,307,20,1,2026-06-27,High
FAC0448,Amravati,Railway Station,5.01,9.14,6.52,0,40,10,25,2026-05-12,High
FAC0449,Pune,College,5.86,3.55,9.2,1,283,16,29,2026-06-01,High
FAC0450,Amravati,Office,9.08,2.73,5.63,0,105,17,35,2026-02-03,Medium
FAC0451,Nashik,Office,2.9,6.67,2.92,1,447,3,14,2026-08-11,Medium
FAC0452,Akola,College,6.82,9.46,7.72,0,32,14,46,2026-02-14,High
FAC0453,Pune,Railway Station,1.66,2.6,3.27,0,314,7,17,2026-08-19,Medium
FAC0454,Mumbai,Bus Station,6.67,4.9,1.15,0,293,0,42,2026-02-02,Medium
FAC0455,Akola,Office,7.8,6.27,7.31,0,203,16,7,2026-06-04,Medium
FAC0456,Nagpur,Bus Station,6.46,3.53,9.34,1,222,0,31,2026-04-23,Medium
FAC0457,Mumbai,Office,2.23,4.52,8.18,1,344,4,20,2026-07-11,Medium
FAC0458,Nashik,Bus Station,9.62,1.1,8.87,0,83,1,1,2026-07-21,Low
FAC0459,Nashik,Hospital,5.83,9.52,3.74,1,128,13,42,2026-03-24,High
FAC0460,Nashik,Railway Station,2.66,6.55,3.27,0,112,18,4,2026-02-07,High
FAC0461,Mumbai,Office,3.62,1.61,1.88,1,189,11,9,2026-05-01,Low
FAC0462,Nashik,Office,1.9,6.58,9.1,1,268,14,22,2026-06-06,High
FAC0463,Akola,Hospital,7.24,2.37,6.1,1,239,5,1,2026-04-24,Low
FAC0464,Pune,Railway Station,7.41,6.77,3.49,1,88,10,31,2026-07-03,Medium
FAC0465,Nashik,Hospital,7.97,5.38,1.98,0,450,8,9,2026-05-15,Medium
FAC0466,Amravati,Bus Station,7.6,6.64,7.55,0,454,16,41,2026-07-27,High
FAC0467,Mumbai,Hospital,7.92,2.91,1.33,1,298,17,31,2026-07-07,Medium
FAC0468,Nashik,College,4.53,9.02,6.31,1,88,14,33,2026-07-23,High
FAC0469,Pune,Hospital,4.27,1.1,3.15,0,407,16,9,2026-04-02,Medium
FAC0470,Amravati,Hospital,6.1,6.09,8.85,0,396,15,23,2026-09-07,High
FAC0471,Pune,Railway Station,3.09,3.38,3.11,0,285,11,25,2026-01-24,Medium
FAC0472,Nashik,Bus Station,1.36,6.84,1.93,1,447,8,38,2026-03-31,Medium
FAC0473,Nagpur,Bus Station,4.39,4.41,6.29,0,284,8,25,2026-07-27,High
FAC0474,Nashik,Hospital,4.18,8.81,5.38,1,474,19,1,2026-08-14,High
FAC0475,Akola,Bus Station,2.49,1.69,6.79,0,96,5,11,2026-03-02,Medium
FAC0476,Nagpur,Bus Station,6.95,4.73,3.97,0,266,15,31,2026-03-24,High
FAC0477,Nagpur,Office,6.83,4.7,3.19,0,313,18,11,2026-09-20,Medium
FAC0478,Pune,Bus Station,1.35,6.15,1.5,1,492,5,34,2026-01-10,Medium
FAC0479,Pune,Railway Station,8.91,7.55,8.39,0,130,14,39,2026-03-29,High
FAC0480,Nagpur,Office,2.97,4.7,2.28,0,339,16,17,2026-06-25,High
FAC0481,Amravati,Hospital,9.3,6.37,1.62,1,217,4,7,2026-09-25,Low
FAC0482,Pune,Bus Station,8.74,5.54,4.78,0,330,3,12,2026-01-20,Medium
FAC0483,Nashik,College,8.9,5.78,7.77,0,266,4,39,2026-08-09,Medium
FAC0484,Akola,Bus Station,5.7,4.33,1.39,1,137,15,25,2026-02-20,Medium
FAC0485,Pune,Public Toilet,4.83,3.29,7.89,0,165,19,35,2026-04-07,High
FAC0486,Mumbai,Hospital,1.05,7.69,1.06,0,286,0,25,2026-06-11,Medium
FAC0487,Nashik,Public Toilet,4.68,1.96,4.83,1,153,17,28,2026-05-22,Medium
FAC0488,Nashik,Railway Station,9.93,4.58,2.83,1,111,11,36,2026-05-10,Medium
FAC0489,Amravati,Office,9.9,6.2,7.97,1,396,4,43,2026-04-28,Medium
FAC0490,Nashik,Bus Station,5.02,7.29,2.46,0,280,12,22,2026-01-27,Medium
FAC0491,Nashik,Railway Station,2.45,9.68,1.05,0,441,4,31,2026-02-15,High
FAC0492,Nashik,Office,1.58,3.0,1.72,0,390,12,26,2026-09-24,High
FAC0493,Amravati,Hospital,3.58,9.67,1.52,0,347,15,29,2026-09-23,High
FAC0494,Amravati,Public Toilet,3.57,1.3,6.4,0,334,5,44,2026-05-03,High
FAC0495,Mumbai,Railway Station,6.9,9.78,1.78,1,419,12,23,2026-07-27,Medium
FAC0496,Akola,Office,6.27,5.66,7.63,0,490,2,36,2026-06-28,High
FAC0497,Amravati,Public Toilet,4.13,8.34,3.04,0,252,12,37,2026-03-31,High
FAC0498,Akola,Bus Station,4.66,1.96,1.65,1,194,3,33,2026-05-09,Low
FAC0499,Mumbai,Railway Station,7.25,9.69,6.07,0,407,10,30,2026-01-15,High
FAC0500,Pune,Public Toilet,5.34,3.32,4.44,0,366,7,21,2026-09-22,Medium
